головной арт;Код;номенклатура;фасовка;единица изм.;цена розница;бренд;картинка;цвет
;00000862;Смесь сухая СМ999 М-300 40кг;40;кг;158;;http://keramix-oskol.ru/upload/iblock/ed4/ed4b3caa7870d22f3ceb9b4cffd167ed.jpeg;
;00000207;Смесь сухая СМ999 строит. для блоков 25кг;25;кг;141;;http://st28.stpulscen.ru/images/product/105/309/447_big.jpeg;
;00000208;Смесь сухая СМ999 универс. кладочно-штукатурная 25кг;25;кг;77;;http://titanst.ru/upload/iblock/31e/31e0c6642647874bd79f5513265f27ae.jpeg;
;00000002;Цемент CЕМ II 42,5Н (ТУ 500 Д20) (Подгорное ВОРОНЕЖ);50;кг;266;;http://przabor.ru/sites/default/files/tsement.jpg;
;00000029;Цемент ЮНИС серый 5кг;5;кг;92;;"http://img.stroikaural.ru/?url=usr/10519/goods_1640102_0.gif;432;432;crop";
;00001004;Шпаклёвка Волма Аквастандарт светлая цементная 22кг ;22;кг;330;Волма;http://stroymarket67.ru/upload/iblock/bee/%D0%B0%D0%BA%D0%B2%D0%B0%D1%81%D1%82%D0%B0%D0%BD%D0%B4%D0%B0%D1%80%D1%82%20%D1%81%D0%B2%D0%B5%D1%82%D0%BB%D1%8B%D0%B9.jpg;
;00000425;Шпаклёвка Волма Аквастандарт цементная 22кг ;22;кг;300;Волма;http://gvzd.ru/img/product/volma_baza.jpg;
;00000405;Шпаклёвка Волма Стандарт 25кг ;25;кг;307;Волма;http://st16.stpulscen.ru/images/product/080/339/969_big.jpg;
;00000194;Шпаклёвка Волма Унишов гипсовая 25кг ;25;кг;557;Волма;http://akson.ru/upload/resize_cache/ctpi/4f/4fba1fc15d9cb466d6b328309851c723/1000x1000.jpg;
;00000685;Шпаклёвка Волма Унишов гипсовая 5кг ;5;кг;207;Волма;http://metrika.ru/upload/iblock/a23/a2356cee18452a99fa3e91eaf9be3e9b.jpg;
;00000085;Шпаклёвка Волма Финиш гипсовая 15кг ;15;кг;310;Волма;http://www.xn----ftbtrkcak.xn--p1ai/upload/iblock/fe8/fe87fe06acc550d73210984f9652f04f.jpg;
;00000086;Шпаклёвка Волма Финиш гипсовая 25кг ;25;кг;410;Волма;http://st23.stpulscen.ru/images/product/095/496/704_big.jpg;
;00000084;Шпаклёвка Волма Финиш гипсовая 5кг ;5;кг;148;Волма;http://2412345.ru/files/products/%2Fimage%2F2%2F64%2F26439_350x350.jpg?f5f549b90fa9672a9f9b5046225fa6eb;
;00000087;Шпаклёвка Волма Шов гипсовая 15кг ;15;кг;241;Волма;http://pssk-sar.ru/upload/shop_1/7/1/4/item_714/shop_items_catalog_image714.jpg;
;00000088;Шпаклёвка Волма Шов гипсовая 25кг ;25;кг;298;Волма;http://pssk-sar.ru/upload/shop_1/7/1/4/item_714/shop_items_catalog_image714.jpg;
;00001022;Шпаклевка Кнауф Полимер-Финиш 20кг;20;кг;439;Knauf;http://images.sdvor.com/sdvorcom/350x350/0/67816.jpg;
;00001130;Шпаклевка Кнауф- XП финиш;25;кг;180;Knauf;http://www.md.all.biz/img/md/catalog/113480.jpeg;
;00000564;Шпаклёвка Кнауф-ФУГЕН гипс, 25кг ;25;кг;397;Knauf;http://yohor.ru/wp-content/uploads/2015/12/4-4.jpg;
;00000165;"Шпаклёвка СТАРАТЕЛИ ""Фасадная"" 20кг";20;кг;340;Старатели;http://www.electrosvet32.ru/public/images/g696.jpg;
;00001200;"Шпаклевка ""Sheetrock"" СуперФишиш (3,5л)";3,5;л;415;Sheetrock;https://qpstroy.ru/sites/default/files/product/173.jpg;
;00000397;Шпатлевка финишная под окраску DANO TOP 9 (10л);10;л;700;;http://www.rostov-na-donu.build2last.ru/images_material/411914/shpatlevka-finishnaya-pod-okrasku-dano-top-9-10l-rostov-na-donu.jpg;
