Головной арт;Код;Номенклатура, Упаковка;Фасовка;Единица измерения;Цена розница, руб;Бренд;Картинка ;Цвет
w094-016;094-035;;2;л;1 040,06;;;
;404-121;Vincent Decor  Decorum Dune / Декорум Дюн база Брийанс - декоративное покрытие Винсент Декор, шт;2,5;л;3 000,12;VINCENT DECOR;;
;103-092;Vincent Decor Decorum Dune (Base Classique) / Декорум Дюн база Классик- декоративное покрытие, шт;2,5;л;2 359,34;VINCENT DECOR;;
;w103-093;Vincent Decor Decorum Dune base Perle / Декорум Дюн база Перль - декоративное покрытие;;;;VINCENT DECOR;;
w103-093;103-093;;2,5;л;2 349,22;;;
w103-093;404-116;;6,5;л;5 899,04;;;
;103-020;Vincent Decor Decorum Stucco / Декорум Штукко (4 кг) - минеральная венецианская штукатурка, шт;;кг;3 540,62;VINCENT DECOR;;
;w103-104;Vincent Decor Decorum Stucco multieffet base Perle / Декорум Штукко мультиэффект  База Перль - декоративное покрытие;;;;VINCENT DECOR;;
w103-104;103-104;;2,5;л;3 924,26;;;
w103-104;404-114;;6,5;л;8 100,14;;;
;w103-106;Vincent Decor Decorum Stucco multieffet Classique / Декорум Штукко мультиэффект Классик  - декоративное покрытие;;;;VINCENT DECOR;;
w103-106;103-106;;2,5;л;2 269,18;;;
w103-106;103-108;;6,5;л;4 699,36;;;
w103-106;103-110;;9;л;5 299,20;;;
;103-094;Vincent Decor Coraline Roche / Коралин Рош - мультиколор. покрытие с вкраплением белых частиц (Н.);;л;2 869,02;VINCENT DECOR;;
;103-112;Vincent Decor Coraline Roche  base Perle / Коралин Рош база Перль - мультиколор. покрытие с вкраплением белых частиц;;л;2 969,30;VINCENT DECOR;;
;404-122;Vincent Decor Peinture Craquelure / Пентюр Кракелюр база А - краска Винсент Декор;;л;1 908,54;VINCENT DECOR;;
;w103-079;Vincent Decor  Soie Brillante / Суа брийант - декоративное покрытие;;;;VINCENT DECOR;;
w103-079;103-079;;0,8;л;1 620,12;;;
w103-079;103-078;;2,5;л;4 536,52;;;
w103-079;103-077;;6,5;л;10 401,06;;;
;w404-119;Vincent Decor Soie Royal / Суа Руаяль - декоративное покрытие ;;;;VINCENT DECOR;;
w404-119;404-119;;0,8;л;1 668,42;;;
w404-119;404-118;;2,5;л;4 740,30;;;
w404-119;404-125;;6,5;л;11 522,54;;;
;w406-021;Vincent Decor Decorum dune base perle  / Декорум Дюн база Перль - декоративное покрытие;;;;VINCENT DECOR;;
w406-021;406-021;;0,9;л;799,02;;;31101
w406-021;406-022;;0,9;л;799,02;;;31102
w406-021;406-023;;0,9;л;799,02;;;31103
w406-021;406-024;;0,9;л;799,02;;;31104
w406-021;406-025;;0,9;л;799,02;;;31105
w406-021;406-026;;0,9;л;799,02;;;31106
;w406-001;Vincent Decor Soie brilliante Lisse / Суа брийант база Лисс  - декоративная краска;;;;VINCENT DECOR;;
w406-001;406-001;;0,9;л;999,12;;;44101
w406-001;406-002;;0,9;л;999,12;;;44102
w406-001;406-003;;0,9;л;999,12;;;44103
w406-001;406-004;;0,9;л;999,12;;;44104
w406-001;406-005;;0,9;л;999,12;;;44105
w406-001;406-006;;0,9;л;999,12;;;44106
;w103-278;Vincent D?cor Sous-couche / Су-куш Vincent Decor - грунтовка;;;;VINCENT DECOR;;
w103-278;103-278;;0,8;л;499,10;;;
w103-278;103-072;;2,5;л;1 188,64;;;
w103-278;103-073;;6,5;л;2 868,56;;;
;w103-075;Vincent D?cor Sous-couche micro granitee / Су-куш микро гранит Vincent Decor - пигментированная  микро грунтовка;;;;VINCENT DECOR;;
w103-075;103-075;;10;кг;3 761,42;;;
w103-075;103-076;;4;кг;1 625,18;;;
;W103-065;Vincent Decor Decorum Vernis / Декорум Вернис - защитный лак (глянцевый);;;;;;
W103-065;103-065;;0,8;л;768,66;VINCENT DECOR;;
;w103-068;Vincent Decor Decorum Vernis / Декорум Вернис - защитный лак (полуматовый);;;;;;
w103-068;103-068;;0,8;л;804,54;VINCENT DECOR;;
W103-065;103-066;;2,5;л;1 992,26;VINCENT DECOR;;
w103-068;103-069;;2,5;л;2 100,36;VINCENT DECOR;;
;103-122;Vincent Decor Decorum Vernis / Декорум Вернис база Металлизе  - защитный лак, шт;0,8;л;1 437,96;VINCENT DECOR;;
;103-123;Vincent Decor Decorum Vernis / Декорум Вернис Кракелюр база Классик - лак для внутренних работ;2,5;л;2 388,78;VINCENT DECOR;;
;w103-100;Decorum Vernis Craquelure / Декорум Вернис Кракелюр ВД - лак для придания эффекта старых трещин;;;;VINCENT DECOR;;
w103-100;103-100;;0,8;л;1 392,42;;;
w103-100;103-102;;2,5;л;3 528,66;;;
;103-071;Vincent Decor DECORUM LUSTRANT / Декорум Люстрант - защитный лак;0,8;л;924,14;VINCENT DECOR;;
;w103-016;Vincent Decor Cire Deco / Сир Деко  V.D.- краска матовая лессирующая;;;;;;
w103-016;103-016;;0,8;л;876,30;VINCENT DECOR;;
w103-016;103-017;;2,5;л;2 341,86;VINCENT DECOR;;
w103-016;103-018;;6,5;л;5 494,24;VINCENT DECOR;;
;103-120;Vincent Decor Cire Deco / Сир Деко б. Металлизе 3 D Перль  V.D.- краска лессирующая декоративная, ;0,8;л;999,12;VINCENT DECOR;;
;103-116;Vincent Decor Cire Deco / Сир Деко б. Металлизе Золото  V.D.- краска лессирующая декоративная;0,8;л;999,12;VINCENT DECOR;;
;103-118;Vincent Decor Cire Deco / Сир Деко б. Металлизе Перль  V.D.- краска лессирующая декоративная;0,8;л;999,12;VINCENT DECOR;;
;103-121;Vincent Decor Cire Deco / Сир Деко б. Металлизе Силвер V.D. - краска лессирующ декоративная;0,8;л;999,12;VINCENT DECOR;;
;103-114;Vincent Decor Cire Deco / Сир Деко база Металлизе Бронза V.D.- краска лессирующая декоративная;0,8;л;999,12;VINCENT DECOR;;
;w103-030;Vincent Decor Luminance Colori / Люминанс Колори  - мультиколорное декоративное покрытие;;;;VINCENT DECOR;;
w103-030;103-030;;3;кг;2 064,48;;;
w103-030;103-032;;8;кг;4 560,44;;;
;w103-013;Vincent Decor Decorum Andalousie / Декорум Андалусия - структурное декоративное покрытие;;;;VINCENT DECOR;;
w103-013;103-013;;10;кг;2 880,52;;;
w103-013;103-012;;4,5;кг;1 512,48;;;
;w103-011;Vincent D?cor Decorum Village / Декорум Вилляж - структурное декоративное покрытие;;;;VINCENT DECOR;;
w103-011;103-011;;10;кг;1 990,42;;;
w103-011;103-010;;4,5;кг;1 500,52;;;
;w103-003;Vincent D?cor Decorum Grese Micro /  Декорум Грезе микро - структурное декоративное покрытие;;;;VINCENT DECOR;;
w103-003;103-003;;12;кг;2 892,48;;;
w103-003;103-002;;5;кг;1 536,40;;;
;w103-007;Vincent Decor Decorum Provence / Декорум Прованс - структурное декоративное покрытие;;;;VINCENT DECOR;;
w103-007;103-007;;10;кг;2 400,28;;;
w103-007;103-006;;5;кг;1 782,50;;;
;w103-009;Vincent Decor Decorum Rustique / Декорум Рустиr - структурное декоративное покрытие;;;;VINCENT DECOR;;
w103-009;103-009;;10;кг;1 750,30;;;
w103-009;103-008;;5;кг;1 368,50;;;
;w103-091;Vincent Decor Decorum Travertino / Декорум Травертино ВД - декоративное структурное покрытие;;;;VINCENT DECOR;;
w103-091;103-091;;12;кг;3 552,12;;;
w103-091;103-090;;5;кг;1 776,52;;;
