Код;Наименование;фасовка;Единица измерения;Цена в валюте прайса;Бренд;картинка;Цвет
w16631;JOBI YACHTLACK Лак яхтный алкидно-уретан. глянц.;;;;JOBI;http://www.dekart.ru/content/images/thumbs/0001774_jobi_parkettaqualack_.jpeg;
16631;;0,9;л;344,3778;;;
16632;;2,7;л;1014,039;;;
16633;;9;л;2774,3274;;;
w16637;JOBI YACHTLACK Лак яхтный алкидно-уретан. мат.;;;;JOBI;http://www.dekart.ru/content/images/thumbs/0001774_jobi_parkettaqualack_.jpeg;
16637;;0,9;л;409,4298;;;
16638;;2,7;л;1176,6924;;;
16640;;9;л;3284,2368;;;
w16634;JOBI YACHTLACK Лак яхтный алкидно-уретан. п/мат.;;;;JOBI;http://www.dekart.ru/content/images/thumbs/0001774_jobi_parkettaqualack_.jpeg;
16634;;0,9;л;409,4298;;;
16635;;2,7;л;1176,6924;;;
16636;;9;л;3284,2368;;;
14972;JOBI BUNTSTEINPUTZ Штукатурка мраморная №64  1,2мм;20;кг;3071,4138;;http://www.dekart.ru/content/images/thumbs/0000051_jobi_buntsteinutz_.jpg;
14973;JOBI BUNTSTEINPUTZ Штукатурка мраморная №65  1,2мм;20;кг;3071,4138;;http://www.dekart.ru/content/images/thumbs/0000051_jobi_buntsteinutz_.jpg;
14974;JOBI BUNTSTEINPUTZ Штукатурка мраморная №67  1,2мм;20;кг;3071,4138;;http://www.dekart.ru/content/images/thumbs/0000051_jobi_buntsteinutz_.jpg;
14976;JOBI BUNTSTEINPUTZ Штукатурка мраморная №68  1,2мм;20;кг;3071,4138;;http://www.dekart.ru/content/images/thumbs/0000051_jobi_buntsteinutz_.jpg;
14977;JOBI BUNTSTEINPUTZ Штукатурка мраморная №69  1,2мм;20;кг;3071,4138;;http://www.dekart.ru/content/images/thumbs/0000051_jobi_buntsteinutz_.jpg;
14978;JOBI BUNTSTEINPUTZ Штукатурка мраморная №74  2мм;20;кг;3071,4138;;http://www.dekart.ru/content/images/thumbs/0000051_jobi_buntsteinutz_.jpg;
14979;JOBI BUNTSTEINPUTZ Штукатурка мраморная №75  2мм;20;кг;3071,4138;;http://www.dekart.ru/content/images/thumbs/0000051_jobi_buntsteinutz_.jpg;
14980;JOBI BUNTSTEINPUTZ Штукатурка мраморная №76  2мм;20;кг;3071,4138;;http://www.dekart.ru/content/images/thumbs/0000051_jobi_buntsteinutz_.jpg;
14981;JOBI BUNTSTEINPUTZ Штукатурка мраморная №77  2мм;20;кг;3071,4138;;http://www.dekart.ru/content/images/thumbs/0000051_jobi_buntsteinutz_.jpg;
14982;JOBI BUNTSTEINPUTZ Штукатурка мраморная №78  2мм;20;кг;3409,2747;;http://www.dekart.ru/content/images/thumbs/0000051_jobi_buntsteinutz_.jpg;
23539;JOBI KRATZPUTZ Штукатурка декоративная 1,5мм;16;кг;1544,4;;http://www.dekart.ru/content/images/thumbs/0002122_jobi_kratzputz_.jpeg;
20798;JOBI KRATZPUTZ Штукатурка декоративная 1,5мм;20;кг;1935,0981;;http://www.dekart.ru/content/images/thumbs/0002122_jobi_kratzputz_.jpeg;
23540;JOBI MODELLIERPUTZ Штукатурка декоративная 0,3мм;16;кг;1544,4;;http://www.dekart.ru/content/images/thumbs/0002124_jobi_modellierputz_.jpeg;
20799;JOBI MODELLIERPUTZ Штукатурка декоративная 0,3мм;20;кг;1935,0981;;http://www.dekart.ru/content/images/thumbs/0002124_jobi_modellierputz_.jpeg;
20800;JOBI ROLLPUTZ Штукатурка декоративная 0,5-1мм;20;кг;1935,0981;;http://www.dekart.ru/content/images/thumbs/0002123_jobi_rollputz_.jpeg;
23542;JOBI RUSTIKALPUTZ Штукатурка декоративная 3мм;16;кг;1544,4;;http://www.dekart.ru/content/images/thumbs/0002120_jobi_rustikalputz_.jpeg;
20801;JOBI RUSTIKALPUTZ Штукатурка декоративная 3мм;20;кг;1935,0981;;http://www.dekart.ru/content/images/thumbs/0002120_jobi_rustikalputz_.jpeg;
23543;JOBI STRUKTURPUTZ Штукатурка декоративная 2мм;16;кг;1544,4;;http://www.dekart.ru/content/images/thumbs/0002121_jobi_strukturputz_.jpeg;
20802;JOBI STRUKTURPUTZ Штукатурка декоративная 2мм;20;кг;1935,0981;;http://www.dekart.ru/content/images/thumbs/0002121_jobi_strukturputz_.jpeg;
12833;JOBI ВОСК для венецианской штукатурки;0,5;кг;1912,3767;;http://www.dekart.ru/content/images/thumbs/0000093_jobi_wachs_fur_venezianishputz_.jpg;
12720;JOBI КLASSIK VENEZIANISCHPUTZ Венец. штукатурка;7;кг;1605,5325;;http://buildt.ru/published/publicdata/DBDVIGENIE4/attachments/SC/products_pictures/168p_enl.jpg;
12540;JOBI КLASSIK VENEZIANISCHPUTZ Венец. штукатурка;20;кг;4357,8639;;http://buildt.ru/published/publicdata/DBDVIGENIE4/attachments/SC/products_pictures/168p_enl.jpg;
w13701;JOBI FENSTERLACK Эмаль для окон шелк. мат.;;;;JOBI;http://www.dekart.ru/content/images/thumbs/0000056_jobi_fensterlack_.jpg;
13701;;0,9;л;438,282;;;
13702;;2,7;л;1126,6164;;;
w13698;JOBI HOCHGLANZLACK Эмаль в/глянц белая;;;;JOBI;http://strmir.ru/d/514218/d/%D1%81%D0%BA%D1%80%D0%B8%D0%BD2.png;
13698;;0,9;л;389,9844;;;
13699;;2,7;л;1138,9599;;;
w13765;JOBI SEIDENMATTLACK Эмаль шелк. мат. Белая;;;;JOBI;http://biztorg.net/images/general/2015/09/08/20150908064648-1856.jpg;
13765;;0,9;л;376,9506;;;
13766;;2,7;л;1070,0469;;;
w13727;JOBI THERMOEMAIL Эмаль для отопит приб п/м;;;;JOBI;http://www.vit42.ru/upload/items/big/5838/16409.jpg;
13727;;0,9;л;514,0629;;;
13728;;2,7;л;1494,2538;;;
w17013;OLIMP Отбеливатель для древесины;;;;OLIMP;http://www.dekart.ru/content/images/thumbs/0000132__.jpg;
17013;;1;л;58,7223;;;
15796;;10;л;520,6851;;;
17822;OLIMP Эмаль аэрозольная вишневая;520;мл;134,8191;OLIMP;http://stroygigant.ru/uploads/goods/5966/emal-aerozolnaya-olimp-belaya-glyancevaya-matovaya-520ml.jpg;
17821;OLIMP Эмаль аэрозольная глянцевая белая;520;мл;136,3869;OLIMP;http://stroygigant.ru/uploads/goods/5966/emal-aerozolnaya-olimp-belaya-glyancevaya-matovaya-520ml.jpg;
17824;OLIMP Эмаль аэрозольная глянцевая черная;520;мл;135,1467;OLIMP;http://stroygigant.ru/uploads/goods/5966/emal-aerozolnaya-olimp-belaya-glyancevaya-matovaya-520ml.jpg;
17823;OLIMP Эмаль аэрозольная желтая;520;мл;134,9595;OLIMP;http://stroygigant.ru/uploads/goods/5966/emal-aerozolnaya-olimp-belaya-glyancevaya-matovaya-520ml.jpg;
17828;OLIMP Эмаль аэрозольная зеленая;520;мл;134,9595;OLIMP;http://stroygigant.ru/uploads/goods/5966/emal-aerozolnaya-olimp-belaya-glyancevaya-matovaya-520ml.jpg;
17832;OLIMP Эмаль аэрозольная золото;520;мл;167,0877;OLIMP;http://stroygigant.ru/uploads/goods/5966/emal-aerozolnaya-olimp-belaya-glyancevaya-matovaya-520ml.jpg;
17827;OLIMP Эмаль аэрозольная коричневая;520;мл;135,1467;OLIMP;http://stroygigant.ru/uploads/goods/5966/emal-aerozolnaya-olimp-belaya-glyancevaya-matovaya-520ml.jpg;
17825;OLIMP Эмаль аэрозольная красная;520;мл;134,8191;OLIMP;http://stroygigant.ru/uploads/goods/5966/emal-aerozolnaya-olimp-belaya-glyancevaya-matovaya-520ml.jpg;
17826;OLIMP Эмаль аэрозольная матовая белая;520;мл;136,7847;OLIMP;http://stroygigant.ru/uploads/goods/5966/emal-aerozolnaya-olimp-belaya-glyancevaya-matovaya-520ml.jpg;
17834;OLIMP Эмаль аэрозольная оранжевая;520;мл;135,3339;OLIMP;http://stroygigant.ru/uploads/goods/5966/emal-aerozolnaya-olimp-belaya-glyancevaya-matovaya-520ml.jpg;
17829;OLIMP Эмаль аэрозольная серая;520;мл;135,1116;OLIMP;http://stroygigant.ru/uploads/goods/5966/emal-aerozolnaya-olimp-belaya-glyancevaya-matovaya-520ml.jpg;
17830;OLIMP Эмаль аэрозольная синяя;520;мл;134,9244;OLIMP;http://stroygigant.ru/uploads/goods/5966/emal-aerozolnaya-olimp-belaya-glyancevaya-matovaya-520ml.jpg;
17831;OLIMP Эмаль аэрозольная хром;520;мл;167,0877;OLIMP;http://stroygigant.ru/uploads/goods/5966/emal-aerozolnaya-olimp-belaya-glyancevaya-matovaya-520ml.jpg;
w20336;OLIMP ОМИКРОН Грунт;;;;OLIMP;http://www.dekart.ru/content/images/thumbs/0001492__.jpeg;
20336;;0,9;л;314,4141;;;
19626;;2,7;л;736,7958;;;
19627;;9;л;1719,2565;;;
w20337;OLIMP ОМИКРОН-ГЕЛЬ Гель декор. защит. белый;;;;OLIMP;http://www.dekart.ru/content/images/thumbs/0001781__.jpeg;
20337;;0,9;л;353,0358;;;
19313;;2,7;л;1014,5421;;;
19314;;9;л;2991,9825;;;
w20338;OLIMP ОМИКРОН-ГЕЛЬ Гель декор. защит. бесцветный;;;;OLIMP;http://www.dekart.ru/content/images/thumbs/0001781__.jpeg;
20338;;0,9;л;353,0358;;;
19316;;2,7;л;1014,5421;;;
19317;;9;л;2991,9825;;;
w20339;OLIMP ОМИКРОН-ГЕЛЬ Гель декор. защит. Дуб;;;;OLIMP;http://www.dekart.ru/content/images/thumbs/0001781__.jpeg;
20339;;0,9;л;353,0358;;;
19319;;2,7;л;1014,5421;;;
19320;;9;л;2991,9825;;;
w20340;OLIMP ОМИКРОН-ГЕЛЬ Гель декор. защит. Каштан;;;;OLIMP;http://www.dekart.ru/content/images/thumbs/0001781__.jpeg;
20340;;0,9;л;353,0358;;;
19322;;2,7;л;1014,5421;;;
19323;;9;л;2991,9825;;;
w20341;OLIMP ОМИКРОН-ГЕЛЬ Гель декор. защит. махагон;;;;OLIMP;http://www.dekart.ru/content/images/thumbs/0001781__.jpeg;
20341;;0,9;л;353,0358;;;
19326;;2,7;л;1014,5421;;;
19327;;9;л;2991,9825;;;
w20342;OLIMP ОМИКРОН-ГЕЛЬ Гель декор. защит. Орегон;;;;OLIMP;http://www.dekart.ru/content/images/thumbs/0001781__.jpeg;
20342;;0,9;л;353,0358;;;
19329;;2,7;л;1014,5421;;;
19330;;9;л;2991,9825;;;
w20343;OLIMP ОМИКРОН-ГЕЛЬ Гель декор. защит. орех;;;;OLIMP;http://www.dekart.ru/content/images/thumbs/0001781__.jpeg;
20343;;0,9;л;353,0358;;;
19332;;2,7;л;1014,5421;;;
19333;;9;л;2991,9825;;;
w20344;OLIMP ОМИКРОН-ГЕЛЬ Гель декор. защит. осенний клен;;;;OLIMP;http://www.dekart.ru/content/images/thumbs/0001781__.jpeg;
20344;;0,9;л;353,0358;;;
19335;;2,7;л;1014,5421;;;
19336;;9;л;2991,9825;;;
w20345;OLIMP ОМИКРОН-ГЕЛЬ Гель декор. защит. палисандр;;;;OLIMP;http://www.dekart.ru/content/images/thumbs/0001781__.jpeg;
20345;;0,9;л;353,0358;;;
19338;;2,7;л;1014,5421;;;
19339;;9;л;2991,9825;;;
w20346;OLIMP ОМИКРОН-ГЕЛЬ Гель декор. защит. сосна;;;;OLIMP;http://www.dekart.ru/content/images/thumbs/0001781__.jpeg;
20346;;0,9;л;353,0358;;;
19341;;2,7;л;1014,5421;;;
